trip_id,start_ts,end_ts,start_lat,start_lon,end_lat,end_lon,distance_m,duration_s,traffic_level,weather,terrain,vehicle_type,priority
trip_29,2024-07-06T17:56:00,2024-07-06T18:51:27,28.69000627960253,77.42021883868817,28.790752549373103,77.46784683928725,65481,3726,1,storm,flat,tank,low
trip_30,2024-08-21T18:59:00,2024-08-21T19:52:45,28.53430141913367,77.46929396693369,28.78356255724854,77.16889809191167,63232,4386,3,clear,flat,troop,low
trip_31,2024-04-14T14:47:00,2024-04-14T16:08:33,28.650015100368538,77.09904623929108,28.790466018547374,77.19592516712144,47290,7779,2,rain,hilly,troop,low
trip_32,2024-05-20T22:28:00,2024-05-20T22:58:51,28.57141877337339,77.46497331494045,28.776416036816023,77.00158832932387,52130,2221,0,clear,mountainous,troop,low
trip_33,2024-04-02T00:26:00,2024-04-02T01:30:02,28.595765150601434,77.27873672891889,28.802256563723283,77.19873302886475,18746,3842,0,clear,flat,troop,low
trip_34,2024-10-04T05:39:00,2024-10-04T06:53:44,28.693798667943447,77.3376570146746,28.43575109361562,77.13838795664094,48208,5156,0,rain,flat,truck,low
trip_35,2024-01-29T01:32:00,2024-01-29T03:13:47,28.7533276738911,77.13444934766233,28.729737083049628,77.58935697062509,40002,5813,1,clear,flat,tank,high
trip_36,2024-03-31T07:10:00,2024-03-31T08:02:40,28.553622352068714,77.00381588319306,28.409513674865277,77.45687145443603,57298,3539,1,clear,flat,truck,low
trip_37,2024-02-13T10:38:00,2024-02-13T12:29:38,28.739241051733337,77.25807857336929,28.44092105422742,77.35353090073201,39803,7501,1,clear,flat,tank,low
trip_38,2024-05-15T22:20:00,2024-05-15T23:47:54,28.531742713953985,77.03004532661059,28.917127529248294,76.92889702597097,46276,6328,0,fog,hilly,truck,med
trip_39,2024-07-28T08:06:00,2024-07-28T08:22:12,28.71482053405675,77.308901952809,28.806154998290847,76.95754606661112,39764,972,0,fog,flat,tank,med
trip_40,2024-12-21T11:46:00,2024-12-21T12:32:23,28.69911838671483,77.06451109224884,28.84783300845913,77.05575593946887,32221,2783,0,clear,flat,tank,med
trip_41,2024-12-23T01:28:00,2024-12-23T02:56:13,28.825661191722855,77.01799195556293,28.67995781459703,77.0204084818369,17800,7780,1,rain,mountainous,tank,low
trip_42,2024-11-16T05:28:00,2024-11-16T05:50:51,28.603005381872904,77.22309406229299,29.020148851799792,77.13013106722272,67166,1535,1,clear,flat,troop,low
trip_43,2024-02-28T22:26:00,2024-02-28T23:10:52,28.56246163071827,77.34019566527608,28.794710486236273,77.31851307609271,24160,3015,1,fog,flat,tank,low
trip_44,2024-10-19T17:01:00,2024-10-19T17:49:11,28.69068076013704,77.08818505073094,28.613369741036482,77.33748425264008,36689,4018,2,rain,flat,tank,low
trip_45,2024-06-22T13:38:00,2024-06-22T14:24:04,28.557085633249084,77.35247791725213,28.624340988505413,77.23258608604476,26639,3427,2,clear,flat,troop,low
trip_46,2024-02-03T12:59:00,2024-02-03T14:34:50,28.936536635187068,77.0334977024301,28.58745883645704,77.25633150839923,34100,6440,1,clear,flat,troop,low
trip_47,2024-03-31T13:57:00,2024-03-31T14:45:33,28.77220403404769,77.26583850982368,29.057079459246506,77.49640918512954,49700,4194,2,storm,hilly,truck,low
trip_48,2024-09-16T05:49:00,2024-09-16T06:35:19,28.632863590194344,77.39780650660033,28.910210419562354,76.92158979299501,44473,4335,3,clear,hilly,tank,med
trip_49,2024-01-17T21:38:00,2024-01-17T22:37:42,28.875400111390686,77.47919623344539,28.552515400436086,77.52045039757434,28718,4441,2,clear,flat,troop,low
trip_50,2024-01-20T10:06:00,2024-01-20T10:49:03,28.94199432466788,77.45089874569462,28.55167591886673,77.11238891680128,27684,2892,1,clear,flat,truck,med
trip_51,2024-10-04T22:31:00,2024-10-04T23:38:29,28.76259730115912,77.34433384146521,28.932834907193755,77.40859959058993,53282,5830,2,clear,hilly,troop,low
trip_52,2024-12-30T09:17:00,2024-12-30T10:10:22,28.963831789196487,77.02610067637016,28.696060370670864,77.26677001922583,23280,4610,2,clear,hilly,tank,low
trip_53,2024-03-11T07:13:00,2024-03-11T08:01:35,28.7241418399264,77.07187127736718,28.574555914405522,77.59808091625898,36050,4285,1,rain,hilly,troop,med
trip_54,2024-05-21T02:20:00,2024-05-21T02:49:08,28.65501829642148,77.39201834122146,29.02572217009697,77.00323677433407,20274,2097,0,clear,hilly,truck,med
trip_55,2024-05-03T16:41:00,2024-05-03T17:51:01,28.834547002256084,77.06431271784803,29.04998035036791,76.97120031448115,23930,5209,2,clear,flat,troop,low
trip_56,2024-11-04T01:41:00,2024-11-04T03:14:38,28.532538298414114,77.39032309773414,28.82042214078162,77.47964841138715,31587,8089,2,clear,hilly,troop,low
trip_57,2024-09-07T22:58:00,2024-09-07T23:35:21,28.817938213927093,77.08006218396086,28.876281815166756,77.05132968343737,50621,2241,0,clear,flat,tank,low
trip_58,2024-03-12T08:12:00,2024-03-12T08:43:05,28.57829336080292,77.24184117595908,28.42856116664908,76.92074453735876,18057,2312,2,clear,flat,tank,low
trip_59,2024-03-29T10:15:00,2024-03-29T11:00:26,28.801839457607258,77.43219897511229,28.89006923964957,77.36721612366452,36270,3925,2,clear,hilly,troop,med
trip_60,2024-10-23T19:24:00,2024-10-23T20:14:02,28.74104983867022,77.03309432844279,28.791842885757255,77.28150367635075,13011,3722,2,clear,flat,truck,med
trip_61,2024-06-10T03:53:00,2024-06-10T04:57:55,28.760594120695036,77.10733361041245,28.497896452368305,76.91194646623786,43723,4829,2,clear,flat,tank,med
trip_62,2024-06-21T19:12:00,2024-06-21T20:13:12,28.590180249145227,77.18929626640842,28.576592181821656,77.23145690835412,38202,4112,1,clear,flat,truck,low
trip_63,2024-09-13T07:16:00,2024-09-13T08:21:12,28.895815592533214,77.4793790560521,28.69838452438966,77.34748801456975,38626,4694,0,clear,hilly,troop,low
trip_64,2024-04-16T06:35:00,2024-04-16T07:53:01,28.929838303156952,77.01257682766717,28.826001743308538,77.3621234006016,53915,5944,1,rain,flat,truck,low
trip_65,2024-08-27T23:41:00,2024-08-28T00:32:38,28.509077187835622,77.45364937247409,28.779221563939068,77.25268633886034,52436,3934,1,rain,flat,troop,med
trip_66,2024-10-09T19:30:00,2024-10-09T20:23:03,28.95021243800745,77.1386105127761,28.72624712570742,77.27765898507006,44292,4679,1,rain,mountainous,troop,low
trip_67,2024-05-20T19:00:00,2024-05-20T19:59:54,28.66283977099506,77.36445576759724,28.689914913004788,77.39110620905713,46667,3421,1,clear,flat,troop,high
trip_68,2024-03-03T20:29:00,2024-03-03T21:37:47,28.59184518674409,77.26634640613815,28.770480115986057,77.29307557186652,19259,5612,3,clear,flat,tank,low
trip_69,2024-08-27T06:13:00,2024-08-27T06:52:49,28.82756666729498,77.46490715399635,29.064996062791234,77.32194705692443,44140,3440,2,storm,hilly,truck,low
trip_70,2024-01-11T10:00:00,2024-01-11T10:42:08,28.544645370961902,77.44401410786512,28.70935094613717,77.28081853380824,29762,3134,2,clear,flat,tank,low
trip_71,2024-01-22T10:01:00,2024-01-22T11:12:03,28.961616498149173,77.00677727208205,28.939112038517987,77.24800842347474,33821,5217,2,fog,mountainous,troop,high
trip_72,2024-09-19T20:33:00,2024-09-19T21:25:32,28.7385223577408,77.10166323783046,28.53293875606352,77.29995449897474,36542,3782,0,clear,hilly,truck,low
trip_73,2024-06-21T03:34:00,2024-06-21T04:20:30,28.825529570811366,77.28066162844762,28.653788847262778,77.11141041981591,14153,3459,2,fog,flat,truck,low
trip_74,2024-11-09T20:43:00,2024-11-09T21:56:12,28.852230278943257,77.0348462627504,28.944351541454672,77.06978488337077,43900,4629,2,fog,flat,tank,high
trip_75,2024-04-29T07:11:00,2024-04-29T08:09:46,28.961256819600205,77.24217202884488,28.560103352049268,77.4647505845063,21829,3949,1,clear,flat,tank,med
trip_76,2024-03-07T19:44:00,2024-03-07T20:35:36,28.50935556587213,77.49254551963826,29.04244467275165,77.38056444132776,48547,3839,2,clear,flat,truck,low
trip_77,2024-11-28T01:13:00,2024-11-28T02:27:27,28.716058832974,77.1223149600404,28.671712875435194,77.31025554100404,45874,6209,2,rain,flat,truck,low
trip_78,2024-12-27T20:21:00,2024-12-27T21:12:14,28.998638547374313,77.28178492939618,29.019777960784438,77.39753251943944,30100,4180,3,clear,flat,troop,med
trip_79,2024-08-09T17:41:00,2024-08-09T18:24:33,28.836745716687084,77.41001525822061,28.579090464802945,77.55533402065721,51162,3762,2,clear,hilly,truck,med
trip_80,2024-02-07T00:03:00,2024-02-07T00:44:42,28.7529230259406,77.0704656008038,28.529668973610846,76.93520704398547,26976,2802,1,clear,flat,tank,low
trip_81,2024-01-03T06:12:00,2024-01-03T06:48:20,28.547638560687428,77.18086351286989,28.767438373213732,77.18014565444274,25861,2703,2,clear,flat,truck,med
trip_82,2024-07-28T01:32:00,2024-07-28T02:05:45,28.65278037708943,77.45885947158325,28.770501715837682,76.96980612559474,40257,2328,0,rain,flat,troop,low
trip_83,2024-10-28T19:37:00,2024-10-28T20:47:43,28.981100303221893,77.29967699546286,28.885299157998777,76.93706486251646,59593,5091,0,clear,hilly,troop,low
trip_84,2024-10-21T16:33:00,2024-10-21T17:44:34,28.60034483397159,77.35533950143387,28.43729952397519,77.0206791498772,31425,5324,2,clear,flat,tank,low
trip_85,2024-04-11T19:30:00,2024-04-11T20:00:47,28.595544888656498,77.247502043669,28.412378298430262,77.56583285012816,52814,2567,2,rain,flat,truck,med
trip_86,2024-02-22T03:43:00,2024-02-22T04:55:20,28.635985017085325,77.18521870213681,28.717892089635658,77.21524628682415,59608,5511,1,rain,flat,tank,low
trip_87,2024-08-30T02:02:00,2024-08-30T03:03:09,28.866473323194906,77.09746687918543,28.463309214825404,76.99263861555512,58476,3867,2,clear,flat,tank,high
trip_88,2024-01-07T10:31:00,2024-01-07T11:48:49,28.78273367883984,77.48747394111632,28.57380248909098,77.0669961213626,32011,6163,1,clear,mountainous,tank,med
trip_89,2024-06-07T03:35:00,2024-06-07T04:00:31,28.660966750581863,77.48835405565241,28.444075742922855,77.25864764299571,45299,2204,2,clear,hilly,tank,med
trip_90,2024-12-12T08:58:00,2024-12-12T09:29:50,28.75624804581698,77.16783969163369,28.67813898433761,76.96018917751661,19042,2597,3,clear,flat,troop,low
trip_91,2024-08-02T01:32:00,2024-08-02T02:36:39,28.714225759540337,77.42963239657438,29.02573241431314,77.31485624722117,50394,3878,0,clear,flat,truck,med
trip_92,2024-12-26T04:25:00,2024-12-26T05:17:18,28.608906536465,77.0416081490235,28.455967768614748,77.31648743795205,31926,4142,1,clear,hilly,tank,low
trip_93,2024-09-08T12:02:00,2024-09-08T12:53:22,28.930159978087907,77.11050302939758,28.653184847252806,77.26569105975032,43011,4530,1,rain,hilly,troop,low
trip_94,2024-09-04T07:29:00,2024-09-04T08:14:43,28.51646478064321,77.40040561300232,28.431315639381992,77.09824488875361,51691,2891,2,clear,flat,truck,high
trip_95,2024-05-17T10:47:00,2024-05-17T11:33:29,28.506702714191565,77.26533309479797,28.956072941412476,77.14672586779025,29898,2789,0,clear,flat,tank,low
trip_96,2024-05-10T18:24:00,2024-05-10T19:33:26,28.573625647832262,77.48365811993847,28.728284304907415,76.90589589322138,47185,5624,0,rain,hilly,troop,low
trip_97,2024-01-16T05:45:00,2024-01-16T06:21:10,28.78927284532011,77.34321572248282,28.41547320592702,77.56434730505087,30228,2864,1,clear,hilly,tank,med
trip_98,2024-07-08T03:22:00,2024-07-08T04:03:45,28.963987367269535,77.25399815442682,28.40322234501734,77.25245109070477,24856,3106,2,clear,flat,tank,low
trip_99,2024-09-25T20:30:00,2024-09-25T21:32:13,28.55360248052695,77.14251768860545,28.657349464165833,76.96853488929466,29433,4292,0,rain,flat,truck,low
trip_100,2024-12-29T23:00:00,2024-12-30T00:14:50,28.56553414830267,77.09469520606946,28.467815655435686,76.97755920840966,35585,5388,0,clear,hilly,troop,low
trip_101,2024-01-18T14:21:00,2024-01-18T15:02:21,28.626912170113048,77.3077312482034,29.0263441904162,77.14816665730056,36913,3572,2,clear,hilly,tank,med
trip_102,2024-01-17T23:36:00,2024-01-18T00:15:50,28.68323797415762,77.26852261123541,28.557169057848654,77.1943939535978,44090,2963,2,clear,flat,truck,med
trip_103,2024-12-28T02:02:00,2024-12-28T03:25:38,28.906795466693495,77.41336477164701,28.52369593630545,77.58912109842056,49492,5630,1,clear,hilly,tank,high
trip_104,2024-07-13T15:06:00,2024-07-13T15:50:18,28.899789001822946,77.24689984432658,28.968176188564694,77.58183654978251,31778,3614,3,storm,flat,troop,med
trip_105,2024-07-17T12:58:00,2024-07-17T13:44:19,28.571380789726156,77.09647960714192,28.605738855811033,77.51809463477055,78245,3445,2,clear,flat,tank,low
trip_106,2024-01-11T22:31:00,2024-01-11T23:26:20,28.786375476387562,77.32933728764667,28.815718736911847,77.59881976026988,42315,4382,1,clear,mountainous,truck,low
trip_107,2024-12-16T20:09:00,2024-12-16T20:51:29,28.664358349294723,77.20589492616551,28.912396872009055,77.42141032443384,30664,2549,0,clear,flat,troop,low
trip_108,2024-11-11T02:49:00,2024-11-11T03:23:49,28.847515668792155,77.46615867229703,29.086806220584254,77.13207581737018,26485,2339,1,clear,flat,truck,low
trip_109,2024-03-22T05:22:00,2024-03-22T05:59:33,28.920710532774265,77.3507347612828,28.591556686015938,77.15978105613321,38404,2793,2,storm,flat,truck,low
trip_110,2024-10-27T13:25:00,2024-10-27T14:40:56,28.589042284095388,77.04113498447374,28.626963939111906,77.31082715684431,38587,5467,0,clear,hilly,troop,low
trip_111,2024-10-03T12:47:00,2024-10-03T13:33:24,28.59711113668021,77.37567496358434,28.885254662427098,77.50666291593429,16066,3674,1,clear,hilly,truck,med
trip_112,2024-11-02T04:49:00,2024-11-02T05:45:23,28.687445365086848,77.1312769046714,28.989672437137397,76.92073425232483,50877,3383,0,clear,flat,truck,med
trip_113,2024-07-08T21:02:00,2024-07-08T22:23:23,28.517130448620723,77.05072673676521,28.50164832880722,77.44870301281627,54646,5468,1,clear,flat,truck,low
trip_114,2024-01-22T07:56:00,2024-01-22T09:24:19,28.53439289930531,77.12098789768757,29.04066103197676,77.50035085763415,35186,5299,0,storm,flat,truck,med
trip_115,2024-02-01T11:24:00,2024-02-01T12:27:05,28.958476079237684,77.41111915276046,28.724474608060607,77.13645219193945,56515,3785,0,storm,flat,troop,low
trip_116,2024-05-14T22:53:00,2024-05-15T00:12:13,28.597675593362066,77.23391302358287,28.484432583030536,77.17906240202234,41879,5893,2,fog,flat,tank,low
trip_117,2024-10-22T20:06:00,2024-10-22T20:45:30,28.61646336795716,77.37964583083597,28.62097455128629,76.95141883144561,38936,3412,2,clear,hilly,troop,low
trip_118,2024-02-21T18:58:00,2024-02-21T19:57:37,28.811439364768788,77.07747487848579,28.929289884798347,77.08959084131378,47830,5150,2,clear,hilly,tank,low
trip_119,2024-12-30T18:33:00,2024-12-30T19:24:02,28.852088401086093,77.02847297066536,28.685483984881397,77.40829540783528,39946,4041,1,clear,mountainous,tank,low
trip_120,2024-07-30T20:05:00,2024-07-30T20:28:40,28.503219446714546,77.06989694008632,28.794288795172367,77.10196135351438,26836,1760,2,clear,flat,troop,med
trip_121,2024-09-18T22:19:00,2024-09-18T23:25:01,28.913992675906268,77.35258222423235,28.4767700361525,77.57788025937313,42332,5030,1,rain,flat,troop,low
trip_122,2024-10-03T19:53:00,2024-10-03T20:42:18,28.78722431230909,77.49021258075751,28.61359560473915,77.11124888961406,42492,2958,0,clear,flat,truck,low
trip_123,2024-06-08T22:51:00,2024-06-08T23:43:17,28.595484276699793,77.34421618384134,28.46722288100477,76.91373474081286,21160,3839,2,clear,hilly,tank,high
trip_124,2024-05-30T10:54:00,2024-05-30T12:14:39,28.728773718577006,77.2412316890807,28.5332184979198,77.37452790432604,20851,5419,1,clear,flat,truck,med
trip_125,2024-08-21T23:53:00,2024-08-22T00:17:58,28.765540709723897,77.20264749604975,28.441727747921362,77.1282993532123,29322,1857,2,fog,flat,tank,med
trip_126,2024-02-14T23:32:00,2024-02-15T00:51:24,28.74250480845245,77.2792710046399,28.48354358648708,77.2168590118813,24414,4764,0,clear,flat,troop,low
trip_127,2024-10-29T12:29:00,2024-10-29T13:19:25,28.931963407644236,77.31565206732598,28.707333386081753,77.20882716114832,25309,3841,1,rain,flat,tank,low
trip_128,2024-02-09T06:20:00,2024-02-09T07:15:08,28.906705818309252,77.21959392293324,28.863762546439652,77.38180187839244,47793,4201,1,rain,flat,troop,low
trip_129,2024-11-05T23:27:00,2024-11-06T00:38:46,28.612709345620008,77.02893101675724,29.08980145709971,77.29752634466034,45597,4822,1,clear,flat,troop,low
trip_130,2024-12-14T19:29:00,2024-12-14T20:42:13,28.85334413996699,77.29017808662528,28.790761250556766,77.11789004981543,69123,4393,0,clear,flat,tank,low
trip_131,2024-12-13T13:06:00,2024-12-13T14:21:06,28.831310466428288,77.12818814987288,29.096889698029983,76.91097605685827,22891,5055,1,clear,hilly,tank,high
trip_132,2024-09-25T05:17:00,2024-09-25T06:43:02,28.551901549092552,77.33218149708851,28.832518120443,77.04090022831177,48740,5781,1,clear,flat,troop,med
trip_133,2024-08-24T13:53:00,2024-08-24T15:01:31,28.886548706375812,77.41832424605543,28.933200774827082,77.30754397620086,24204,6207,3,rain,flat,truck,med
trip_134,2024-09-12T05:16:00,2024-09-12T06:06:49,28.899193885201136,77.1202113086081,28.735165329288357,76.93426692649821,30228,4390,2,clear,hilly,troop,med
trip_135,2024-01-24T17:36:00,2024-01-24T19:16:15,28.77948108716749,77.35999927460455,28.888347561673402,77.49791560438088,10457,7458,2,clear,flat,troop,low
trip_136,2024-04-22T10:45:00,2024-04-22T11:08:19,28.96905344370796,77.34231947253757,28.77590763362539,77.38881084328666,28885,1734,2,clear,flat,troop,low
trip_137,2024-09-22T07:26:00,2024-09-22T08:32:27,28.871004391100676,77.15184699313247,28.933821776481157,77.0255454547654,13329,4943,2,clear,flat,tank,low
trip_138,2024-12-02T01:16:00,2024-12-02T02:46:26,28.741118433040405,77.43423707646596,28.743400282252892,77.13332535979337,19333,6891,1,rain,flat,troop,med
trip_139,2024-04-05T01:48:00,2024-04-05T02:03:39,28.621287975156307,77.06944844274332,28.8868065782519,77.23049899113036,15127,1239,1,clear,hilly,troop,low
trip_140,2024-06-13T21:49:00,2024-06-13T23:13:05,28.85951966829357,77.04603194814351,28.886986196471888,77.4635194635523,55201,7264,2,clear,mountainous,tank,low
trip_141,2024-12-07T12:21:00,2024-12-07T13:15:16,28.515465515212494,77.03635404461888,28.597799481115842,77.27534302599273,42727,4297,1,clear,mountainous,truck,low
trip_142,2024-01-03T17:20:00,2024-01-03T18:03:58,28.99617334324606,77.0815409477553,28.504021034062575,77.28983552953974,13396,3271,2,fog,flat,tank,med
trip_143,2024-09-11T02:29:00,2024-09-11T03:39:16,28.868493151191203,77.2274551454423,28.956406629612953,76.94515051921293,54164,6071,2,clear,hilly,tank,med
trip_144,2024-12-14T20:03:00,2024-12-14T21:11:21,28.549720596338762,77.16995074950562,28.81750959855973,76.9188864955598,53370,5413,1,clear,hilly,truck,med
trip_145,2024-07-02T13:37:00,2024-07-02T14:33:45,28.736446256487618,77.14898702720578,28.926612514151984,77.22456477566374,76307,4630,3,clear,flat,troop,med
trip_146,2024-11-10T00:37:00,2024-11-10T01:15:33,28.839131311006366,77.11644471756567,28.566679922737592,77.21303734759223,46804,2590,1,clear,flat,troop,med
trip_147,2024-08-02T09:04:00,2024-08-02T09:23:03,28.943657645722134,77.20935212335077,28.476933678171136,77.00685977497628,10799,1371,0,clear,hilly,truck,med
trip_148,2024-03-21T07:58:00,2024-03-21T09:46:19,28.596080416598586,77.26854879525443,29.09705873007324,77.09593822994613,40652,8578,1,clear,hilly,tank,low
trip_149,2024-11-24T17:45:00,2024-11-24T18:33:54,28.557517945495185,77.48428749769751,28.860324583769696,76.93747550398902,55481,3726,1,rain,flat,troop,low
trip_150,2024-12-19T08:58:00,2024-12-19T09:36:49,28.852480067813655,77.29693441016364,28.51325801329914,77.29951291411263,49881,2613,1,clear,hilly,tank,high
trip_151,2024-06-21T22:48:00,2024-06-22T00:09:01,28.875313664816865,77.44798404477184,29.0465666622383,76.90201376769679,57766,7145,1,rain,hilly,troop,low
trip_152,2024-08-05T07:54:00,2024-08-05T08:46:35,28.727877113993813,77.02282629463227,28.677287128040646,77.17889534359894,35475,3912,2,storm,flat,truck,med
trip_153,2024-07-17T04:07:00,2024-07-17T05:25:44,28.75946255474714,77.13669146532104,28.78557781184791,77.48858169624242,44289,6802,2,clear,mountainous,truck,low
trip_154,2024-07-23T11:55:00,2024-07-23T13:19:05,28.831952875074684,77.4785941141985,28.60211479492301,77.19101153901858,35165,6659,1,clear,hilly,troop,med
trip_155,2024-10-29T10:55:00,2024-10-29T11:53:56,28.966111445201363,77.3808976228419,29.040058167236374,77.51729032915672,31296,3536,0,clear,flat,troop,low
trip_156,2024-04-11T00:42:00,2024-04-11T01:09:55,28.892019985058443,77.04932972337808,28.852311770091948,77.56343706022008,37920,2077,2,clear,flat,truck,low
trip_157,2024-01-27T01:21:00,2024-01-27T01:41:23,28.631437677628057,77.15118340166015,28.859452453970416,77.27468032917453,57962,1516,2,clear,flat,troop,low
trip_158,2024-12-28T15:48:00,2024-12-28T16:26:23,28.6522215450925,77.26635572898117,28.86751248795282,77.20264454648586,57770,3039,1,clear,hilly,tank,low
trip_159,2024-10-13T05:33:00,2024-10-13T06:22:35,28.734009581032993,77.2514737029134,28.780706558552993,77.16883485968702,30609,2975,0,clear,flat,truck,low
trip_160,2024-12-29T09:08:00,2024-12-29T10:02:54,28.744694562235857,77.37282015038024,29.098704393952953,77.39554425640358,48958,3294,0,clear,flat,truck,low
trip_161,2024-04-26T18:43:00,2024-04-26T19:56:09,28.8467703295757,77.37005276900634,28.729288785454628,77.13474020634914,31520,5442,2,clear,flat,tank,med
trip_162,2024-04-15T16:35:00,2024-04-15T17:36:45,28.759679541845646,77.48155165295097,28.71609242238117,77.4346109362599,31097,5335,2,clear,hilly,tank,low
trip_163,2024-09-11T18:35:00,2024-09-11T19:57:38,28.99036591376826,77.48097037717044,28.504030751273834,77.32414234163079,37673,6544,1,clear,hilly,tank,low
trip_164,2024-09-20T16:59:00,2024-09-20T17:27:32,28.97624964826697,77.25364859982281,28.472217635540073,76.97739451828447,24152,2259,1,clear,hilly,truck,med
trip_165,2024-06-29T06:30:00,2024-06-29T07:49:40,28.80518213261309,77.13450952968843,28.718540097014163,77.47207488806428,42452,5927,2,clear,flat,troop,med
trip_166,2024-06-01T22:22:00,2024-06-01T23:32:56,28.581859373064738,77.4651965863477,28.779935916931354,77.5556894969446,52889,6639,3,fog,mountainous,troop,med
trip_167,2024-04-08T02:01:00,2024-04-08T03:10:13,28.71766499150355,77.13461333243124,28.709364963149454,76.99460823610416,48729,6603,2,rain,hilly,truck,low
